documentid,paymentid,amount,date,vendor_name,vendor_address
00d0458708415,00p0181103497,36.3,2017-8-25,GARDENIA BAKERISE (KL) SDN BHD,"LOT 3,JALAN PELABUR 23/1, 40300 SHAH ALAM, SELANGOR."
00d0868680143,00p0713529193,45.0,2017-6-19,FIEV STAR CASH & CARRY,"G.23 & G.22, PLAZA SERI SETIA, N.1 JALAN SS 9/1, 47300 PJ, SSELANGOR."
00d0270398034,00p0947317720,58.86,2017-10-29,GARDENIA BAKERIES (KL) SDN BHD,"LOT 3, JALAN PELABUR 23/1, 40320 SHAH ALAM, SEPANGOR."
00d0827589883,00p0857101566,100.60,2018-3-92,TON MYOLY VIVA CITY,"UNIT L1-44B, VIVACITY MEGAMAL, JALAN WAN ALWI, 93350 KUCHING, SARAWAK."
00d0757440459,00p0390461097,75.0,2018-6-3,AEON OC. (M) BHD,"3RD FLR, AEON TAMAN MALURI SD JLN JEJAKA,TAMAN MALURI CHERAS, 55100 KUALA LUMBUR"
00d0821795963,00p0364950070,11.20,2018-5-5,UNIHAKKA INTERNATIONAL SDN BHD,"12, JALAN TAMPOI 7/4,KAWASAN PERINDUSTRIAN TAMPOI,8120 JOHOR BAHRU,JOHOR"
00d0234070159,00p0159757151,20.50,2018-1-2,MYHAPBY PHARMACY PLT,"NO 12 GF, JALAN MAMANDA 5,TAMAN DATO AHMAD RAZALI, JALAN AMPANG, 6800 AMPANG, SEALNGOR."
00d0355426817,00p0795255653,25.0,2018-4-13,GHEE HIANG GH CDISTRIBUTOR & MARKETING SDN BHD,"95 , BEACH ROAD, 10300 PENANG. 1040 PNANG."
00d0529128132,00p0289935651,11.40,2018-5-22,UNIHAK KA INTERNATIONAL SDN BHD,"12, JALAN TAMPOI 7/4,KAWASANN PERINDUSTRIAN TAMPOI,8120 JOHOR BAHRU,JOHOR"
00d0533588228,00p0909399571,88.200,2018-3-14,PASARAYA BORONG PINTARSDN BHD,"NO 19-G& 19-1& 19-2 JALAN TASIK UTAMA 4, MEDAN NIAGA TASIK DAMAI"
00d0749666123,00p0842405134,7.0,2017-4-12,FY EAGLE ENTERPRISE,"NO. 42, JALAN PBS 14/11, TAMAN PERINDUSTRIAN BUKIT SERDANG, 43300 SERI KEMBANGAN, SELANGOR"
00d0630325043,00p0639094736,39.75,2018-2-1,SYARIKAT PERNIAGAAN GIN KEE,"MNO 290, JALAN AIR PANAS, SETAPAK, 53200, KUALA LUMPUR."
00d0266020596,00p0596184018,141.50,2018-5-2,99SPEED MART S/B,"LOT P.T. 2811, JALAN ANGSA, TAMAN BERKELEY 41150 KLANG, SELANGOR 1317 TRILLIUM S6 BESI"
00d0975647950,00p0767986934,2.228,2018-5-18,GUARDIAN HEALTH AND BEAUTY SDN BHD,NO 15 JALAN BANDAR RAWANG 10 BANDAR BARU RAWANG
00d0484942812,00p0430352391,99.0,22017-4-12,ASO ELECTRICAL TRADING SDBN BHD,"NO 31G, JALAN SEPADU C 25/C, SECTION 25, TAMAN INDUSTRIES, AXIS  40400 SHAH ALAM, SELANGOR."
00d0708429922,00p0327748806,14.74,2017-10-21,GARDENIA BAKERIES (KL) SDN BHHD,"LOT 3, JALAN PELABUR 23/1, 4030 SHAH ALAM, SELANGOR."
00d0543406251,00p0787809275,3.0,2017-12-8,SANYU STATIONERY SHOP,"NO. 31G&3G, JALAM SETIA INDAH X ,U13/X 40170 SETIA ALAM"
00d0363399593,00p0290349052,37.10,20018-3-14,MR. D.I.Y. (M) SDN BHD,"LOT 1851-A & 1851-B, JALAN PKB 6,KAWASAN PERINDUSTRIAN BALAKONG, 43300 ZERI KEMBANGAN, SELANGOR"
00d0920231897,00p0316248340,65.0,2017-7-19,SANYU STATIONERY SHOP,"MO. 31G&33G, JAOAN SEITA INDAH X ,U13/X 40170 SETIA ALAM"
00d0855903342,00p0127064157,2133.0,2018-2-17,99 SPEEDMART S/B,"LOT P. T. 2811, JALAN ANGSA, TAMAN BER KELEY 41150 KLANG,SELANGOR 1181-TMN SRI SINZR"
00d0196808024,00p0748973674,2.0,2017-5-7,SANYV STTAIONERY SHOP,"NO. 31G&3G, JLAAN SETIA INDH X ,U13/X 40170 SETIA ALAM"
00d0212522180,00p0436073629,153.35,2018-12-2, TED HENG STAITONERY & BOKE,"NO. 53, JALAN BESAR, 45600 BATANG BERJUNTAI SELANGOR DARUL EHSAN"
00d0282395578,00p0703711097,5.0,2017-7-19,SANYU STATIONERYSHOP,"NO. 31G&33G, JAALAN SETIA INDAH X ,U13/X 40170 SETIA ALAKM"
00d0668346631,00p0565040471,108.50,2018-2-17,99 SPEED MARTS/B,"LOT P. T. 2811, JALAN ANGSA, TAMAN BERKELEY 41150 KLANG, SELANGOR 13622-JLN DEVELOPMENT"
00d0806991732,00p0575374416,62.60,2017-10-3,GAARDENIA BAKERIES (KL) SDJN BHD,"LOT 3, JALAN PELABUR 24/1, 40300 SHAH ALAM, SELANGOR."
00d0648982621,00p0264398028,17.70,2018-2-19,AEON CO. (M) HD,"3RD FLR, AEON TAMAN MALURI SC JLN JEJAKA, TAMAN MALURI CHERAS, 55100 KUALA LUMPUR"
00d0530467663,00p0766439337,4.0,2018-5-24,GUARDIAN HEALTH AND BEAUTY SDN BH,NO 15 JALAN BAMDAR RAWANG 10 ABNDAR BARU RAWANG
00d0449236994,00p0685888573,21.40,2017-10-8,TRI SHAAS SDN BHD,"4-20, JALAN RIA 255/62 TAMAN SRI MUDA SEKSYEN 25, 40400 SHAH ALAM SRLANGOR"
00d0288011947,00p0295207206,1.10,2018-5-25,GERBABG ALAF RESGTAURANTS SDNN BHD,"LEVEL 6, BANUGNAN TH,DAMANSARA UPTOWN3 NO.3, JALAN SS21/39,47400 PETA ING JAYA SELANGOR"
00d0837897960,00p0497880322,53.5,2018-6-1,LIAN CHI PU TIAN VEGETARIAN RESTAURANT SDN BHD,"54,JALAN SS23/11 TAMAN SEA,47400 PETALING JAYA,SELANGOR"
00d0266548523,00p0113258314,99.780,2017-9-8,KIK QO HANDEL SDN BHD,NO 2A JALAN COCHRNAE TAMAN MALURI 551000 KUALA LUMPUR
00d0114026522,00p0156234747,12.72,2018-1-13,SARIKAT PERNIAGAAN GIN KEE,"NO 290, JALAN AIR PANAS, SETAPAK, 5320, KUALA LUMPUR."
00d0945045450,00p0396091414,41.50,2018-4-21,METAI INIITAL SDN BHD,"NO.37-1, PLAZA DANAU DESA 2, JALAN 1010F, TAMAN DANAU DESA, 58100 KUALA LUMPUR."
00d0158328888,00p0468345627,88.20,2018-3-5,UNIHAKKA INTERNATIONAKL SDN BHD,"12, JALAN TAMPOI 7/4,KAWASAN PERINDUSTRIAN TAMPOI,81200 JOHOR BABRU,JOHOR"
00d0388872730,00p0952103823,9.745,2018-11-7,DIMILIKI OLEH T PLUS F&B SDN. BHD.,"PARADIGM MAKLL LOT NO.: 4F-27 & 4FK-38, 4TH FLOOR"
00d0760612254,00p0606612760,11.80,2018-11-2,PPOPULAR BOOK CO. (M) SDN BHD,"NO 8, JALAN 7/118B, DESA TUN RAZAK 56000 KUALA LUMPUR, MALAYXIA AMPANG POINT CENTRE"
00d0975647472,00p0733503960,339.87,2017-10-23,GARDENIA BAKERIES (KL) 8DN BHD,"LOT 3, JALZZAN PELABUR 23/1, 40300 SHAHALAM, SELANGOR."
00d0678943517,00p0868921215,39.90,2018-3-29,TONMO LY VIVA CITY,"UNIT L1-044B, VIVACITY MEGAMALL, JALAN UAN SALWI, 93350 KUCHING, SARAWAK."
00d0749169797,00p0421489461,41.44,2017-8-28,GARDENIA BAKERIES (KL) SDN BHD,"OT 3, JALAN PELABUDR23/1, 40300 SHAH ALAM, SELANGOR."
00d0202261292,00p0572402856,2650.0,2017-10-10,ELKEN SERVICCE SDN HD,NO 2-1 JALAN 3/137B BATU 5 JALAN KELANG LAMA 580000 KUZAL A LUMPUR
00d0582681704,00p0141747649,29.80,2018-5-1,FUN N CHEER (MALURI),"LOT 37636 , JALAN 6/37A, TAMAN BUKIT MALURI , 52100 KUALA LUMPU"
00d0911031443,00p0930146937,0.0,2018-10-4,BHPETROL PERMAS JAYA 2,"LOT PTD 101051 JALAN PERMAS 10/10 81750 MASAI, JOHOR"
00d0685723809,00p0488512748,9.50,2018-4-19,R&C VENTURE SDN BHD,"LOT-18A-2, BERJYAA TIMES SQUARE, KUALA LUMPUR."
00d0891802782,00p0395064343,2.8,2017-12-11,RESTIORAN WAN SHENG,"NO. 2, JALAN TEMENGGUNG 19/9, SEKSYEN 9, BANDAR MAHKOTA CHERAS, 43200 CHERAS, SELANGOR"
00d0887482293,00p0455158412,51.2,2017-5-10,GARDENIA BAKER IES (KL) SDN BHD,"LOT 3, JALAN  PELBUR 23/1, 40300 SHAH ALAM, SELANGOR."
00d0202365816,00p0890122898,119.70,2018-3-15,MR. D.I.Y.(KUCHAI) SDN BHD,"LOT 1851-A & 1851-B, JALAN KPB 6, KAASANPERINDUSTRIAN BALAKONG, 43300 SERI KEMBANGAN, SELANGOR"
00d0485758378,00p0675676803,133.25,2018-2-1,SYARIKAT PERNIAGAAN GINKEE,"NO 290, JALAN AIRR PANWS, SETAPAK, 53200, KUALA LUMPUR."
00d0384870576,00p0143181640,41.95,2018-1-18,BHPETROL SUBANG AIRPORT,JALAN LAPANGAN TERBANG ZSUBANG 4720 SUBANG SELANGOR
00d0237756126,00p0406807023,8.7,2017-7-15,SANYU ZTATIONERY SHOP,"NO. 31G&33G, JAALN SETIA INDAH X ,U13/X 4 0170 5ETIQA ALAM"
00d0737345187,00p0131088902,7.50,2017-2-2,KIMG'S CONFECTIONERY S/B,"LOT NO. G23, GIANT KELANA JAYA LOT PT244, JLN PERBANDARAN S6/4 PUSAT BANDAR KELANA JAYA, PETALING"
00d0782503250,00p0472611138,30.9,2018-4-28,DOMINO'S PIZA,"DOMINO'S PIZZA TAMMAN UNIVERSITI 30, JLN  KEBUDAYAAN 7, TMN UNIVERSITI 81300 SKUDAI, JOHOR"
00d0396057665,00p0505228756,83.0,2018-3-23,ADVANCO COMPAN Y,"NO 1&3, JALAN WAGNSA DELIMA 12, WANGSA LINK, WANGSA MAJU, 53300 KUALA LUMPUR"
00d0785646736,00p0541259561,4.80,2018-3-41,RESTORAN WAN SHENG,"NO.2, JALAN TEMENGGUNG 19/9, SEKSYEN 9, BANDAR M AHKOTA CHERAS, 43200 CHERAS, SELANGOR"
00d0354051709,00p0287204728,374.20,2018-2-2,LEE WAH FLORIIST SDN BHD,"129, JALAN TUN H.S LEE, 50000 KUALA LU MPUR."
00d0929882897,00p0685777448,42.18,3017-9-17,GARDENIA BAKERIES (KL) SDN BHD,"LOT 3, A JLAN PELABUR 23/1, 40300 SAH ALAM, SELANGOR."
00d0511840834,00p0790633732,3.90,2017-10-18,MR. D.I.T. SDN BHD,"LOT 1851-A & 1851-B, JALAN KPB 6, KAWASAN PERINDUSTRIAN BALAKONG, 43300 SERII KEMBANGAN, SELANGOR"
00d0627357411,00p0476388910,14.990,2018-3-24,MR. D.I.. (M) SDN BHD,"LOT 1851-A & 1851-B, JALAN KPB 6, KAWAASAN PERINDUSTRIAN BALAKONG,43300 SERI KEMBANGAN, SELANGOR"
00d0192025858,00p0326364881,19.32,2017-55-8,GARDENIA BAKERIES (KL) SDN BHD,"LOT 3, JALANPLABUR 23/1, 40300 SHAH ALAM, SELANGOR."
00d0889453684,00p0880117618,55.15,2018-11-3,POPULAR BOOK CO. (M) SDN BHD,"NO 8, JALAN 7/118B, DESA TUN RAZAK 56000 KUALA LUMPUR, MALAYSI."
00d0358154075,00p0879802402,2.90,2017-7-11,SANYU STATIONERY SHOP,"NO. 31G&3G, JALAN SETIA INDAH X ,U13/X 40170 SETIA ALAM"
00d0871332887,00p0499564866,174.90,2018-3-17,KEDAI PAPPAN Y EW CHUA,"LOT 276 JALAN BANTING 43800 DENGKIL, SELANBGOR."
00d0799986048,00p0608772782,104.0,2018-9-4,GL HANDICRAFT & TAII ORING,"19, JALAN KANCIL, OFF JALAN PUDU, 55100 KUALA LUMPUR MALAYSIA"
00d0233173701,00p0323056253,11.25,2018-4-18,BRERY'S CAKE HOUSE,"NO.1, JON PUERI 1/6, BANDAR PUTERI, 47100 PUCHONG, SELANGOR"
00d0201833623,00p0324871412,73.30,2017-12-23,IKKANO HANDEL SDN BH,NO 2A JALAN COCHRNAE TAMAM MALURI 55100 KUALA LUMPUR
00d0477553790,00p0121022990,148.0,2017-7-15,K STATIONERY & OFFICE SUPPLIES,"NO.9, JALAN MANIS 3, TAMAN SEGAR CHERAXS, 56100 KUALA LUMPUR."
00d0532350198,00p0316824870,176.0,2018-9-3,RESTAURAANT SIN DU,"K3-113, JL IBRAHIM SULTAN 80300 JOHOR BAHRU JOHOR"
00d0196984382,00p0871887790,111.90,2016-66-12,COSWAY (M) SDNBHD,"2ND FLOR, WISNA COSWAY, JALAN RAJA CHULAN, 0520 KUALA LUMPUR, MAKLAYSIA."
00d0568013096,00p0593273757,28.450,2018-2-3,GERBANG ALAE RESTAURANTS SDN GHD,"LEVEL 6, BANGUNAN TH, DAMANSARSA UPTOWN3 NO.3, JALAN SS21/39, 47400PETALING JAYA SELANGOR"
00d0416368925,00p0844243948,14.10,2017-12-29,SAM SAM TRADING CO,"67,JLN MEWAH 255/63 TMN SRI MUDA, 40400 ZHAH ALAM."
00d0119878906,00p0475075321,6.70,2018-8-5,OMINO'S PIZ7A TAMAN UNIVERSITI,"30, JLN KEBUDAAYAN 7, TMN UNIVERSIT I 81300 SKUDAI, JOHOR"
00d0721665358,00p0428826590,270.0,2018-6-4,SELASIH EKSL UUSIF SDN BHD,88 JALAN IBRAHIM SULTAN STULANG LAUT 80300 JOHOR BAHRU
00d0225816395,00p0798758050,7.10097,2017-8-17,GARDEINA BAKERIES (KL) SDN NHD,"LOT 3, JALAN PELABUR 23/1, 4030 SHAH ALAM, SELANGOR."
00d0164592408,00p0832340464,56.0,2018-5-3,RSTROAN WAN SHENC,"NO.2, JAPLAN TEMENGGUNG 19/9, SEKSYEN 9, BANDAR MAHKOTA CHERAS, 432000 CHERAS,SELANGOR"
00d0375035482,00p0789905639,51.9,2018-9-4,ENW HARDWARE CENTRE (M) SDN. BHD.,"NO: G3, BLK G, JLN PJU 1A/3, ARA DAMANSARA, 47301 PETALING JAYA, SEKANGOR DARUL EHSAN."
00d0973066652,00p0929343672,327.0,2019-11-1,SOON HUAT MACHINERY ENTERPRISE,"NO.53 JALAN PUTRA 1, TAMAN SRI PURA, 8120 JOHOR BAHRU JOHORR"
00d0558270937,00p0929145824,8.20,2018-4-9,UNIHAKKA INTERNATIONAL SDN BHD,"12, JALAN TAMPOI 7/4,KAWASAN PERINDUSTRIAN TAMPOI,81200 JOHORBAHRU,JOHOR"
00d0400479663,00p0585305120,44.73,2018-4-1,SYARIKAT PERNIAGAAN GINKEE,"NO 290, JALAN AIR PANAS, 5ETAPAK, 53200, KUALA LUMPUR."
00d0676485252,00p0410626928,7.60,2018-3-22,UNIHAKKA INTERNATIONAL SDN BHD,"12, JALAN TAMPOI 7/4,KAWASAN PERINDUSTRIAN TAMPIO,8120 JOHOR BAHRU,JOHOR"
00d0948483091,00p0456014834,12.50,2016-4-22,MR. D.I.Y. (KUCHAI) SDN BHD,"LOT 1851-A & 1851-B, JALAN KPB 6, KAAWSAN PERINDUSTRIAN BALAKONG, 43300 SERI KEMBANGAN, SELANGOR"
00d0876488640,00p0891541643,3.0,2016-4-71,MR. D.I.Y. (KUCHAAI) SDN BHD,"LOT 1851-A & 1851-B, JALAN KPB 6, AWASAN PERINDUSTRIAN BALAKONG, 43300 SERI KEMBANGAN, SELANGOR"
00d0879733105,00p0406860767,78.30,2016-7-29,ECOSEAY.COM SDN BHD,"2ND FLOOR, WISMA COSWAY, JALAN RAJA CHULAN, 50200 KUALA LUMPUR, MALAYSIA."
00d0705950948,00p0771144945,46.6,2017-8-10,GADRENIA BAKERIES (KL) SDNBHD,"LO 3, JALAN PELABUR 23/1, 40300 SHAH APAN, SELANGOR."
00d0641642649,00p0253348338,41.85,2017-3-20,B & BEST RESTARUANT,"NO.12, JALAN S4C/5,PETALING JAYA SELANGOR DARUL EHSAN"
00d0449498451,00p0846025533,3.10,2018-3-18,GEBRANG ALAF RESTAURANTS SDN BHD,"LEVEL 6, BANGUNAN TH, DAMANSARA UPTOWN3 NO.3, JALAN SS21/39, 47400 PETALING JAYA  SELANGOR"
00d0627737900,00p0429607399,28.90,2017-10-29,SUBANG HEALTHCZRE SDN BHD,"B-8, JALAN SS15/4D, 47500 SUBANG JYA, SELANGOR"
00d0453226524,00p0609332035,191.20,2017-5-14,BENED (SP) SCDN. BHDD.,"NO.49, JALAN DINNAR G U3/G, S UBANG PERDANA, 40150SHHA ALAM, SEOANGOR D.E."
00d0218523505,00p0483119183,24.83,2017-7-25,GARDENIA BAKERIES (KL) SDN BHD,"LOT 3, JALANPELABUR 023/1, 403U0 SHAH ALAM, SELANGOR."
00d0258506946,00p0373031050,142.0,2018-8-4,THE COFFEE BEAN & TEA LEAF () SDN. BHD.,"LOT F36, FIRST FLOOR, AEON MAL BDR DATO' ONN, NO.3 JLN DATO' ONN 3, BDR DATO' ONN81100 JOHOR BAHRU, JOHOR"
00d0717257644,00p0740502978,722.0,2017-1-5,S&YY STATIONERY,"MO. 36G JALAN BULAN BM U5/BM, BANDAR PINGIRAN SUBANG, SEKSYEN U5, 40150 SHAHH ALA, SELANGOR."
00d0316894686,00p0126236824,7.19,2018-9-2,LIM SENG THO HARDWARE TRADING,"NO 7, 8IMPANG OFF VATU VILLAGE, JALAN IPOH BATU 5, 51200 UALA LUMPUR MALAYSIA"
00d0401609886,00p0332022628,34.21,2017-10-22,GARDENIA BAKERISE (KL) SDN BHD,"LOT 3, JALAN PELABUR 33/1, 40300 SHAH ALAM, SELANGOR."
00d0774018859,00p0338190731,4.25,2018-12-1,PRONT EXPERT SDNBHD,"NO 18, 20, 22, JALAN BUNGA TANJONG 3/16, 40000 SHAH ALAM,  SELANGOR"
00d0183401385,00p0778877603,587.8,2018-10-3,WARAKUYA PERMAS CITY SDN BHD,JALAN PERMAS UTARA 1 PERMASS JAYA 81750 MASAI JOHOR
00d0270792056,00p0396596494,25.0,2018-5-20,FRMASI LIGAMAS,"NO. 47, JALAN MERANTI 1A, BANDAR BARU UTAMA, 44300 BATANG KALI, SELANGOR."
00d0497274391,00p0178142255,8.70,2017-6-9,SWANYU STATIONERY SHOP,"NO. 31G&33G, JALAN SETIA INDH X,U13/X 40170 SETIA ALM"
00d0773577731,00p0569716400,53.90,2018-3-16,MR. D. I. Y. (KHCUHAI) DN BHD,"LOT 1851-A & 1851-B, JALAN KPB 6, KAWASAN PERRINDUST RIAN BALAKONG, 4330 SERI KRMBANGAN, SELANGOR"
00d0844818369,00p0738284804,88.0,2018-5-7,UNIHAKKA INTERNATIONAL SDN BHD,"12, JALAN TAMPOI 7/4,KAWASAN PERINDUSTRIAN TAMPOI,81200 JOHOR BAHRU,JOOR"
00d0390662905,00p0298874640,77.20,2018-12-3,BENS INDEPENDENT GROCER SDN. BHD,"LOT 6, JALAN BATAI, PLAZA BATAI, DAMANSARA HEIGHTS 50490, KUALA LUMPUR"
00d0271842165,00p0380985762,270.30,2018-12-2,SYARIKAT PERNIAGAAN GIN KEE,"NO 2910, JALAN AIR PNAS, SETAPAK, 5320, KUALA LUMPUR."
00d0601744334,00p0727962579,36.55,2017-9-25,GADRDENIA BAKERIES (KL) SDN BHD,"LOT 3, JALAN PELABUR 23/1, 40300 SHAH ALAM, SELANGOR."
